id,name,type,description,workflow_status,priority,due_date,is_active,created_at,updated_at,owner_id,created_by,action_type,action_payload,schedule_cron,schedule_interval,next_run_at,last_run_at,parent_task_id
4q9s7u2w-3r8p-4o2n-9s9q-5t2u1v9w7x5y,Implement Enemy Combat Behaviors,Programming,Program enemy attacks defenses and special moves; ensure each enemy type behaves according to design.,In Progress,High,2024-06-20T00:00:00Z,true,2024-05-30T00:00:00Z,2024-06-20T00:00:00Z,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,5c3a1e9g-8d1b-4f0a-9n5m-3o7p2q0r8s6t,manual,{},,,,,2o7q5s0u-1p6n-4m0l-9q7p-4r0s7t5u1v9w
0b4a2f7d-5c1b-4e8c-8d3e-6f0g4h2i0j9k,Design Audio Style and Themes,Audio,Decide on an overall audio direction: orchestral score vs. electronic realistic vs. stylized sound effects.,Completed,Medium,2024-05-01T00:00:00Z,true,2024-04-15T00:00:00Z,2024-05-01T00:00:00Z,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,manual,{},,,,,
2d6c4h9f-7e3d-4a0b-8f5g-8h4i6j8k2l1m,Compose Main Theme Music,Audio,Write and record the main theme music for the game that will be used in the title screen and key moments.,In Progress,High,2024-08-01T00:00:00Z,true,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,manual,{},,,,,0b4a2f7d-5c1b-4e8c-8d3e-6f0g4h2i0j9k
4f8e6j1h-9g5f-4c2d-8h7i-9j6k0l0m4n3o,Record Sound Effects (Combat & UI),Audio,Record or source sound effects for combat and UI interactions.,In Progress,Critical,2024-07-01T00:00:00Z,true,2024-06-15T00:00:00Z,2024-07-01T00:00:00Z,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,4a2c0e8g-9b3d-4k1l-8e5f-7m2n8o6p4q0r,manual,{},,,,,0b4a2f7d-5c1b-4e8c-8d3e-6f0g4h2i0j9k
6h0g8i3k-1i7f-4e4f-8j9k-0l8m2n2o6p5q,Full Level Design – Level 1,Level Design,Design the complete layout for Level 1 including environment features enemy placement and objectives.,Completed,Critical,2024-06-15T00:00:00Z,true,2024-05-15T00:00:00Z,2024-06-15T00:00:00Z,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,manual,{},,,,,
8j2i0k5m-3k9i-4g6h-8l1m-1n2o6p4q8r1s,Full Level Design – Level 2 (Forest Village),Level Design,Design the layout for a forest village level balancing exploration areas and combat encounters.,Completed,High,2024-07-01T00:00:00Z,true,2024-06-15T00:00:00Z,2024-07-01T00:00:00Z,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,manual,{},,,,,6h0g8i3k-1i7f-4e4f-8j9k-0l8m2n2o6p5q
0l4k2m7o-5m1i-4i8j-8n3o-2p4q8r6s0t9u,Full Level Design – Level 3 (Ancient Ruins),Level Design,Create the layout for an ancient ruins level with vertical exploration and puzzle elements.,In Progress,High,2024-07-15T00:00:00Z,true,2024-07-01T00:00:00Z,2024-07-15T00:00:00Z,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,2e0g8c6i-3a9b-4h5g-8m1n-1o0p4q8r2s7t,manual,{},,,,,8j2i0k5m-3k9i-4g6h-8l1m-1n2o6p4q8r1s
2n6o4q9s-7o3m-4k0l-8p5q-3r6s0t8u4v2w,Model Enemy Type A (Grunt),Art,Model a common grunt enemy (mid-poly for in-game use) based on concept art.,Completed,High,2024-05-20T00:00:00Z,true,2024-05-01T00:00:00Z,2024-05-20T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
4p8q6s1u-9q5o-4m2n-8r7s-4t8u2v0w6x4y,Texture and Rig Enemy Type A (Grunt),Art,Apply textures to the grunt model and rig it for animations.,Completed,High,2024-06-10T00:00:00Z,true,2024-05-20T00:00:00Z,2024-06-10T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,2n6o4q9s-7o3m-4k0l-8p5q-3r6s0t8u4v2w
6r0s8u3w-1s7q-4o4p-8t9u-5v0w4x2y8z6a,Model Enemy Type B (Ranged),Art,Model an enemy with ranged attacks with distinctive silhouette.,Completed,Medium,2024-06-05T00:00:00Z,true,2024-05-20T00:00:00Z,2024-06-05T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
8t2u0w5y-3u9s-4q6r-8v1w-6x2y6z4a0b8c,Texture and Rig Enemy Type B (Ranged),Art,Texture the ranged enemy model and rig it for animation.,Completed,Medium,2024-06-25T00:00:00Z,true,2024-06-05T00:00:00Z,2024-06-25T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,6r0s8u3w-1s7q-4o4p-8t9u-5v0w4x2y8z6a
0v4w2y7a-5w1u-4s8r-8x3y-7z4a8b6c2d0e,Model Mini-Boss Character,Art,Create a 3D model for a mid-game boss larger scale and more detail than standard enemies.,In Progress,High,2024-07-01T00:00:00Z,true,2024-06-15T00:00:00Z,2024-07-01T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
2x6y4a9c-7y3w-4u0s-8z5a-8b6c0d4e4f2g,Texture and Rig Mini-Boss Character,Art,Texture the mini-boss model and rig it ensuring the rig supports any unique anatomical features.,Open,High,2024-07-20T00:00:00Z,true,2024-07-01T00:00:00Z,2024-07-20T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,0v4w2y7a-5w1u-4s8r-8x3y-7z4a8b6c2d0e
4z8a6c1e-9a5y-4w2u-8b7c-9d8e2f6g0h4i,Model Environment Assets – Forest,Art,Model trees rocks foliage and ground textures for the forest environments.,Completed,High,2024-05-25T00:00:00Z,true,2024-05-01T00:00:00Z,2024-05-25T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
6b0c8e3g-1c7a-4y4w-8d9e-0f0g6h8i2j6k,Texture Environment Assets – Forest,Art,Create texture sets for forest assets and apply to models.,Completed,High,2024-06-15T00:00:00Z,true,2024-05-25T00:00:00Z,2024-06-15T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,4z8a6c1e-9a5y-4w2u-8b7c-9d8e2f6g0h4i
8d2e0g5i-3e9c-4a6y-8f1g-1h2i8j0k4l8m,Model Environment Assets – Village,Art,Build models for village structures and props.,Completed,High,2024-06-10T00:00:00Z,true,2024-05-25T00:00:00Z,2024-06-10T00:00:00Z,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,7e5f3g1a-9c4d-4k3l-9m1n-0o3p9q7r5s2t,manual,{},,,,,
0f4g2i7k-5g1e-4c8a-8h3i-2j4k0l2m6n0o,Texture Environment Assets – Village,Art,Texture the village structure models with wood straw and fabric materials consistent with art style.,Completed,High,2024-06-30T00:00:00Z,true,2024-06-10T00:00:00Z
